,total_time,fire_size
355,103 days 13:37:00,6233.0
356,111 days 17:04:00,4025.0
357,68 days 06:00:00,3451.0
358,67 days 04:05:00,4654.0
359,1 days 08:30:00,1653.0
360,46 days 15:15:00,5015.0
361,109 days 23:50:00,19941.0
362,90 days 23:00:00,19520.0
363,49 days 02:30:00,13450.0
364,33 days 23:00:00,4742.0
365,41 days 13:07:00,23760.0
366,154 days 14:00:00,11791.0
367,3 days 18:00:00,1700.0
368,5 days 14:15:00,1070.0
369,28 days 20:01:00,1407.0
370,0 days 16:31:00,2115.0
371,118 days 01:20:00,60009.0
372,76 days 13:01:00,46298.0
373,102 days 05:56:00,5100.0
374,61 days 22:59:00,72361.0
375,124 days 16:00:00,1237.0
376,4 days 04:20:00,5209.0
377,136 days 02:05:00,120077.0
378,57 days 22:11:00,1650.0
379,12 days 01:30:00,15000.0
380,39 days 03:05:00,3382.0
381,17 days 00:06:00,3847.0
382,128 days 00:30:00,44176.0
383,62 days 19:30:00,1390.0
384,1 days 06:00:00,1050.0
385,49 days 23:27:00,31624.7
386,42 days 23:10:00,1056.0
387,30 days 10:30:00,7357.0
388,14 days 20:59:00,2800.0
389,113 days 20:45:00,42694.0
390,81 days 04:11:00,15297.0
391,42 days 22:15:00,1274.8
392,16 days 00:59:00,55420.0
393,53 days 22:56:00,25877.0
394,77 days 03:33:00,25150.0
395,18 days 00:00:00,28476.0
396,43 days 12:30:00,123014.0
397,108 days 02:09:00,14233.0
398,96 days 01:32:00,18222.0
399,95 days 05:52:00,36045.0
400,39 days 00:40:00,51000.0
401,81 days 20:07:00,3148.0
402,45 days 07:47:00,48000.0
403,64 days 22:31:00,7762.0
404,22 days 22:00:00,12759.0
405,25 days 20:18:00,45300.0
406,10 days 05:01:00,1440.0
407,98 days 22:00:00,1093.0
408,80 days 03:00:00,8000.0
409,10 days 05:24:00,197990.0
410,7 days 14:45:00,9472.0
411,112 days 19:00:00,1022.0
412,0 days 00:16:00,38356.0
413,39 days 14:45:00,49390.0
414,123 days 22:50:00,2582.0
415,11 days 03:16:00,8590.0
416,71 days 21:00:00,2714.0
417,45 days 20:50:00,3074.0
418,28 days 02:42:00,5315.0
419,34 days 14:30:00,4000.0
420,6 days 04:45:00,1044.0
421,50 days 05:00:00,29921.0
422,7 days 23:50:00,2174.0
423,0 days 22:00:00,1227.0
424,1 days 07:00:00,1500.0
425,9 days 17:30:00,2005.0
426,13 days 02:30:00,3094.0
427,3 days 05:00:00,4505.0
428,10 days 10:00:00,5070.0
429,1 days 04:00:00,3876.0
430,50 days 01:43:00,1255.0
431,4 days 05:51:00,2048.0
432,8 days 06:08:00,2269.0
433,32 days 05:24:00,81378.0
434,1 days 20:00:00,4046.0
435,32 days 20:00:00,4913.0
436,0 days 15:00:00,8609.0
437,23 days 02:30:00,1464.0
438,177 days 04:30:00,13116.0
439,2 days 07:00:00,2021.0
440,36 days 04:31:00,162818.0
441,2 days 02:30:00,2000.0
442,71 days 00:45:00,5512.0
443,78 days 01:52:00,13709.0
444,66 days 23:59:00,2494.0
445,7 days 10:30:00,5478.0
446,23 days 00:21:00,2200.0
