,native,lat,long
622,BIA,36.3887,-96.3397
623,BIA,36.4931,-96.357
624,BIA,36.442,-96.5297
625,BIA,36.4076,-96.5411
626,BIA,36.4617,-96.7045
627,BIA,36.4115,-96.5264
628,BIA,36.3584,-96.5209
629,BIA,36.3654,-96.2728
630,BIA,36.6406,-96.2439
631,BIA,36.4237,-96.3545
632,BIA,36.4351,-96.5489
633,BIA,36.5653,-96.3425
634,BIA,36.4531,-96.5795
635,BIA,36.4478,-96.5647
636,BIA,36.3767,-96.3934
637,BIA,36.8442,-96.6753
638,BIA,36.5998,-96.3
639,BIA,36.2442,-96.2172
640,BIA,36.3062,-96.4097
641,BIA,34.7501,-95.0836
642,BIA,34.6334,-95.3002
643,BIA,34.2834,-94.8002
644,BIA,34.5334,-95.8669
645,BIA,34.7834,-95.3503
646,BIA,34.3834,-94.6002
647,BIA,34.4168,-94.6169
648,BIA,34.0334,-94.8169
649,BIA,34.1168,-94.7836
650,BIA,34.6668,-95.3002
651,BIA,34.0834,-94.9336
652,BIA,34.0834,-95.0169
653,BIA,34.3334,-95.4336
654,BIA,34.3334,-95.4336
655,BIA,34.3334,-95.4336
656,BIA,34.3334,-95.4336
657,BIA,34.3334,-95.4002
658,BIA,34.3334,-95.4002
659,BIA,34.3334,-95.4336
660,BIA,34.3334,-95.4502
661,BIA,34.3334,-95.5002
662,BIA,34.4168,-94.6169
663,BIA,34.6168,-95.6169
664,BIA,34.4501,-94.9336
665,BIA,34.4168,-94.6169
666,BIA,34.4168,-94.6169
667,BIA,34.8834,-95.0502
668,BIA,34.3834,-94.5836
669,BIA,34.3834,-94.5836
670,BIA,34.9168,-95.0002
671,BIA,34.3834,-94.6002
672,BIA,35.1001,-95.4169
673,BIA,34.0168,-94.8002
674,BIA,34.0501,-94.9502
675,BIA,34.3668,-94.6169
676,BIA,34.0501,-94.9502
677,BIA,34.9001,-94.6336
678,BIA,34.9001,-95.9003
679,BIA,34.5501,-95.8669
680,BIA,34.2668,-95.9169
681,BIA,34.1001,-95.0002
682,BIA,34.0834,-94.6169
683,BIA,34.0834,-94.8502
684,BIA,34.3001,-94.8002
685,BIA,34.8834,-95.1336
686,BIA,34.0834,-94.6502
687,BIA,34.1834,-95.2669
688,BIA,34.3668,-96.0169
689,BIA,34.0834,-94.9502
690,BIA,34.0834,-95.0002
691,BIA,34.3834,-94.7169
692,BIA,34.5334,-94.8669
693,BIA,34.4834,-95.2669
694,BIA,33.9501,-94.8169
695,BIA,34.7501,-94.9836
696,BIA,34.0168,-94.7002
697,BIA,34.4334,-94.5836
698,BIA,34.6334,-95.2002
699,BIA,34.5168,-95.4669
700,BIA,34.4168,-95.4169
701,BIA,35.1668,-95.3336
702,BIA,34.0834,-94.8836
703,BIA,34.0834,-94.8669
704,BIA,34.5334,-94.8836
705,BIA,33.9501,-94.8002
706,BIA,34.0834,-94.7669
707,BIA,34.0834,-95.0002
708,BIA,34.1001,-94.7002
709,BIA,34.1001,-94.7002
710,BIA,34.5834,-95.7003
711,BIA,34.5334,-94.8669
712,BIA,34.7168,-94.8836
713,BIA,34.5168,-95.8836
714,BIA,34.5168,-94.9169
715,BIA,34.9501,-94.9669
716,BIA,34.8834,-95.0169
717,BIA,34.8834,-95.0169
718,BIA,34.5334,-94.8336
719,BIA,34.5168,-94.9169
720,BIA,34.1334,-95.5169
721,BIA,34.5168,-94.7002
722,BIA,34.6668,-94.8336
723,BIA,34.0834,-94.7169
724,BIA,34.9334,-95.1169
725,BIA,34.9001,-94.8502
726,BIA,34.8501,-95.0836
727,BIA,34.5168,-95.8836
728,BIA,34.5168,-95.9169
729,BIA,34.3668,-94.8836
730,BIA,34.5334,-95.9169
731,BIA,34.5001,-94.7169
732,BIA,34.5001,-94.7169
733,BIA,34.0168,-94.6669
734,BIA,34.4668,-94.6669
735,BIA,34.4501,-94.6669
736,BIA,34.4668,-94.6669
737,BIA,34.4668,-94.6669
738,BIA,34.3501,-94.7669
739,BIA,34.1334,-94.7502
740,BIA,34.1334,-94.7502
741,BIA,34.5168,-94.6836
742,BIA,34.5168,-94.6836
743,BIA,35.7501,-95.5336
744,BIA,33.9668,-94.6002
745,BIA,34.6834,-95.5003
746,BIA,34.6668,-95.8169
747,BIA,34.3001,-95.5336
748,BIA,34.5168,-95.0002
749,BIA,34.4001,-95.6003
750,BIA,35.0168,-95.0669
751,BIA,34.0834,-94.9336
752,BIA,34.0501,-94.9502
753,BIA,34.0668,-94.9502
754,BIA,34.0668,-94.9502
755,BIA,34.0501,-94.9169
756,BIA,34.0501,-94.9002
757,BIA,34.0668,-94.9669
758,BIA,34.0668,-94.9669
759,BIA,34.0334,-94.9502
760,BIA,34.0334,-94.9502
761,BIA,34.4334,-95.9669
762,BIA,34.8834,-95.1669
763,BIA,34.6834,-95.2669
764,BIA,34.5334,-94.8336
765,BIA,34.7168,-95.0836
766,BIA,34.7168,-95.7503
767,BIA,34.4501,-94.5836
768,BIA,34.5334,-94.8336
769,BIA,34.8001,-95.3336
770,BIA,33.8334,-94.7669
771,BIA,33.9834,-94.6002
772,BIA,34.8501,-95.4169
773,BIA,34.7001,-95.7503
774,BIA,34.0668,-94.7169
775,BIA,34.3501,-95.6503
